linux-firmware-whence 20260110-1
linux-headers 6.18.9.arch1-2
lksctp-tools 1.0.21-1
llhttp 9.3.1-1
llvm-libs 21.1.8-1
lmdb 0.9.33-1
lm_sensors 1:3.6.2-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
l-smash 2.14.5-4
lsof 4.99.5-2
lsscsi 0.32-2
lua51 5.1.5-13
lua51-lpeg 1.1.0-4
lua51-luautf8 0.2.0-1
lua 5.4.8-2
luajit 2.1.1767980792+707c12b-2
luit 20250912-1
lv2 1.18.10-2
lvm2 2.03.38-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-1
mailcap 2.1.54-2
make 4.4.1-2
mako 1.10.0-1
man-db 2.13.1-1
mangohud 0.8.2-3
man-pages 6.17-1
mbedtls 3.6.5-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
meld 3.22.3-2
mesa 1:25.3.5-1
mesa-utils 9.0.0-7
milou 6.6.0-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-3
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.23.0-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
muparser 2.3.5-2
nano 8.7.1-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncurses 6.6-1
neon 0.36.0-1
netctl 1.29-2
nettle 3.10.2-1
networkmanager 1.54.3-1
network-manager-applet 1.36.0-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-qt 6.23.0-1
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.5-1
nfsidmap 2.8.5-2
nfs-utils 2.8.5-2
nftables 1:1.1.6-2
nilfs-utils 2.2.15-1
nm-connection-editor 1.36.0-1
noto-fonts 1:2026.02.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.02.01-1
npth 1.8-1
nspr 4.38.2-1
nss 3.120.1-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
nvidia-hook 1.5.3-1
nvidia-inst 26.1.1-1
nvidia-open 590.48.01-12
nvidia-utils 590.48.01-4
nvtop 3.3.2-1
oath-toolkit 2.6.14-1
ocean-sound-theme 6.6.0-1
ocl-icd 2.3.4-1
onetbb 2022.3.0-4
oniguruma 6.9.10-1
openal 1.25.1-1
openconnect 1:9.12-4
opencore-amr 0.1.6-2
opencv 4.13.0-2
openexr 3.4.4-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openrgb 1.0rc2-5
openssh 10.2p1-2
openssl 3.6.1-1
openvpn 2.7.0-1
openxr 1.1.54-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.83-1
ostree 2025.7-2
oxygen 6.6.0-1
oxygen-sounds 6.6.0-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260213-1
pacutils 0.15.0-2
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20260122-1
parted 3.6-2
patch 2.8-1
path-of-building-community-git 2.60.0.r8946.66.517-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre2 10.47-1
pcre 8.45-4
pcsclite 2.4.1-1
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-html-parser 3.83-2
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.16-6
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.81-2
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-timedate 2.33-9
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.02-16
perl-xml-parser 2.47-3
perl-xml-writer 0.900-6
pinentry 1.3.2-2
pipewire 1:1.4.10-2
pipewire-alsa 1:1.4.10-2
pipewire-audio 1:1.4.10-2
pipewire-jack 1:1.4.10-2
pipewire-pulse 1:1.4.10-2
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
pkgfile 25-2
plasma5support 6.6.0-1
plasma-activities 6.6.0-1
plasma-activities-stats 6.6.0-1
plasma-browser-integration 6.6.0-1
plasma-desktop 6.6.0-1
plasma-disks 6.6.0-1
plasma-firewall 6.6.0-1
plasma-integration 6.6.0-1
plasma-nm 6.6.0-1
plasma-pa 6.6.0-1
plasma-sdk 6.6.0-1
plasma-systemmonitor 6.6.0-1
plasma-thunderbolt 6.6.0-1
plasma-vault 6.6.0-1
plasma-welcome 6.6.0-1
plasma-workspace 6.6.0-1
plasma-workspace-wallpapers 6.6.0-1
playerctl 2.4.1-5
plocate 1.1.24-1
plymouth 24.004.60-14
plymouth-kcm 6.6.0-1
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.6.0-1
polkit-qt6 0.200.0-1
poppler 26.01.0-1
poppler-glib 26.01.0-1
poppler-qt6 26.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
powerdevil 6.6.0-1
power-profiles-daemon 0.30-1
ppp 2.5.2-1
pps-tools 1.0.3-2
print-manager 1:6.6.0-1
prison 6.23.0-1
procps-ng 4.0.6-1
protobuf 33.1-3
proton-vpn-daemon 0.13.4-8
proton-vpn-gtk-app 4.14.1-2
psmisc 23.7-1
pugixml 1.15-3
pulseaudio-qt 1.7.0-2
purpose 6.23.0-1
pv 1.10.3-1
python 3.14.3-1
python-aiohappyeyeballs 2.6.1-4
python-aiohttp 3.13.3-1
python-aiosignal 1.4.0-3
python-attrs 25.4.0-3
python-bcc 0.36.1-1
python-bcrypt 5.0.0-2
python-cairo 1.29.0-2
python-capng 0.9-1
python-certifi 2026.01.04-1
python-cffi 2.0.0-2
